facet,type,Historical,Unexposed,Exposed
Overall,HR,"1 (1, 1)","1.28 (1.2, 1.36)","1.51 (1.41, 1.62)"
Overall,HR Unexposed,"0.78 (0.74, 0.83)","1 (1, 1)","1.18 (1.12, 1.25)"
Overall,Burden per 1000,"55.8 (52.6, 58.9)","70.6 (68.8, 72.4)","82.2 (78.6, 85.8)"
Overall,Burden relative to Historical,"0 (0, 0)","14.9 (11.2, 18.5)","26.5 (21.7, 31.2)"
Overall,Burden relative to Unexposed,"-14.9 (-18.5, -11.2)","0 (0, 0)","11.6 (7.6, 15.6)"
Female,HR,"1 (1, 1)","1.33 (1.23, 1.44)","1.55 (1.41, 1.69)"
Female,HR Unexposed,"0.75 (0.7, 0.81)","1 (1, 1)","1.16 (1.09, 1.25)"
Female,Burden per 1000,"49.2 (45.4, 53)","64.8 (62.6, 66.9)","74.4 (70, 78.7)"
Female,Burden relative to Historical,"0 (0, 0)","15.6 (11.2, 20)","25.2 (19.4, 30.9)"
Female,Burden relative to Unexposed,"-15.6 (-20, -11.2)","0 (0, 0)","9.6 (4.7, 14.4)"
Male,HR,"1 (1, 1)","1.16 (1.07, 1.25)","1.43 (1.29, 1.57)"
Male,HR Unexposed,"0.87 (0.8, 0.94)","1 (1, 1)","1.23 (1.14, 1.33)"
Male,Burden per 1000,"68.4 (63.4, 73.4)","78.5 (75.5, 81.5)","94.8 (88.6, 101)"
Male,Burden relative to Historical,"0 (0, 0)","10.1 (4.3, 15.9)","26.4 (18.5, 34.3)"
Male,Burden relative to Unexposed,"-10.1 (-15.9, -4.3)","0 (0, 0)","16.3 (9.5, 23.2)"
18 to 39,HR,"1 (1, 1)","1.29 (1.08, 1.54)","1.56 (1.27, 1.92)"
18 to 39,HR Unexposed,"0.78 (0.65, 0.93)","1 (1, 1)","1.21 (1.03, 1.42)"
18 to 39,Burden per 1000,"32.2 (26.3, 38.1)","41.4 (36.7, 46)","49.6 (41.8, 57.4)"
18 to 39,Burden relative to Historical,"0 (0, 0)","9.2 (1.7, 16.7)","17.4 (7.6, 27.1)"
18 to 39,Burden relative to Unexposed,"-9.2 (-16.7, -1.7)","0 (0, 0)","8.2 (-0.9, 17.3)"
40 to 64,HR,"1 (1, 1)","1.28 (1.18, 1.38)","1.55 (1.42, 1.69)"
40 to 64,HR Unexposed,"0.78 (0.72, 0.85)","1 (1, 1)","1.21 (1.13, 1.3)"
40 to 64,Burden per 1000,"64.8 (60, 69.6)","81.8 (78.7, 84.9)","97.4 (91.4, 103.3)"
40 to 64,Burden relative to Historical,"0 (0, 0)","17 (11.3, 22.7)","32.6 (24.9, 40.2)"
40 to 64,Burden relative to Unexposed,"-17 (-22.7, -11.3)","0 (0, 0)","15.6 (8.9, 22.3)"
65 plus,HR,"1 (1, 1)","1.15 (1.05, 1.26)","1.32 (1.19, 1.48)"
65 plus,HR Unexposed,"0.87 (0.79, 0.95)","1 (1, 1)","1.15 (1.06, 1.25)"
65 plus,Burden per 1000,"59.5 (53.7, 65.3)","68.5 (64.4, 72.5)","77.6 (70.8, 84.4)"
65 plus,Burden relative to Historical,"0 (0, 0)","8.9 (1.9, 16)","18.1 (9.2, 27.1)"
65 plus,Burden relative to Unexposed,"-8.9 (-16, -1.9)","0 (0, 0)","9.2 (1.3, 17.1)"
Hispanic,HR,"1 (1, 1)","1.27 (1.13, 1.43)","1.36 (1.18, 1.56)"
Hispanic,HR Unexposed,"0.79 (0.7, 0.89)","1 (1, 1)","1.07 (0.96, 1.19)"
Hispanic,Burden per 1000,"65.1 (58, 72.2)","83.1 (78.7, 87.4)","86.9 (79.2, 94.7)"
Hispanic,Burden relative to Historical,"0 (0, 0)","18 (9.7, 26.3)","21.8 (11.3, 32.3)"
Hispanic,Burden relative to Unexposed,"-18 (-26.3, -9.7)","0 (0, 0)","3.9 (-5.1, 12.8)"
NH White,HR,"1 (1, 1)","1.2 (1.1, 1.31)","1.52 (1.37, 1.68)"
NH White,HR Unexposed,"0.83 (0.76, 0.91)","1 (1, 1)","1.26 (1.17, 1.37)"
NH White,Burden per 1000,"48.1 (44.2, 52)","57.3 (55.2, 59.4)","71.4 (66.4, 76.4)"
NH White,Burden relative to Historical,"0 (0, 0)","9.2 (4.8, 13.7)","23.3 (17, 29.7)"
NH White,Burden relative to Unexposed,"-9.2 (-13.7, -4.8)","0 (0, 0)","14.1 (8.7, 19.6)"
NH Black,HR,"1 (1, 1)","1.28 (1.16, 1.42)","1.51 (1.35, 1.7)"
NH Black,HR Unexposed,"0.78 (0.7, 0.86)","1 (1, 1)","1.18 (1.08, 1.29)"
NH Black,Burden per 1000,"76.4 (69.1, 83.7)","96.6 (92.2, 100.9)","112.3 (104.1, 120.4)"
