facet,type,Exposed,Unexposed,Historical
Overall,HR,"1 (1, 1)","0.85 (0.8, 0.89)","0.66 (0.62, 0.71)"
Overall,Burden per 1000,"82.2 (78.6, 85.8)","70.6 (68.8, 72.4)","55.8 (52.6, 58.9)"
Overall,Burden relative to Exposed,"0 (NA, NA)","-11.6 (-15.6, -7.6)","-26.5 (-31.2, -21.7)"
Female,HR,"1 (1, 1)","0.86 (0.8, 0.92)","0.65 (0.59, 0.71)"
Female,Burden per 1000,"74.4 (70, 78.7)","64.8 (62.6, 66.9)","49.2 (45.4, 53)"
Female,Burden relative to Exposed,"0 (NA, NA)","-9.6 (-14.4, -4.7)","-25.2 (-30.9, -19.4)"
Male,HR,"1 (1, 1)","0.81 (0.75, 0.88)","0.7 (0.64, 0.77)"
Male,Burden per 1000,"94.8 (88.6, 101)","78.5 (75.5, 81.5)","68.4 (63.4, 73.4)"
Male,Burden relative to Exposed,"0 (NA, NA)","-16.3 (-23.2, -9.5)","-26.4 (-34.3, -18.5)"
18 to 39,HR,"1 (1, 1)","0.83 (0.71, 0.97)","0.64 (0.52, 0.79)"
18 to 39,Burden per 1000,"49.6 (41.8, 57.4)","41.4 (36.7, 46)","32.2 (26.3, 38.1)"
18 to 39,Burden relative to Exposed,"0 (NA, NA)","-8.2 (-17.3, 0.9)","-17.4 (-27.1, -7.6)"
40 to 64,HR,"1 (1, 1)","0.82 (0.77, 0.88)","0.65 (0.59, 0.71)"
40 to 64,Burden per 1000,"97.4 (91.4, 103.3)","81.8 (78.7, 84.9)","64.8 (60, 69.6)"
40 to 64,Burden relative to Exposed,"0 (NA, NA)","-15.6 (-22.3, -8.9)","-32.6 (-40.2, -24.9)"
65 plus,HR,"1 (1, 1)","0.87 (0.8, 0.95)","0.76 (0.68, 0.84)"
65 plus,Burden per 1000,"77.6 (70.8, 84.4)","68.5 (64.4, 72.5)","59.5 (53.7, 65.3)"
65 plus,Burden relative to Exposed,"0 (NA, NA)","-9.2 (-17.1, -1.3)","-18.1 (-27.1, -9.2)"
Hispanic,HR,"1 (1, 1)","0.94 (0.84, 1.04)","0.74 (0.64, 0.84)"
Hispanic,Burden per 1000,"86.9 (79.2, 94.7)","83.1 (78.7, 87.4)","65.1 (58, 72.2)"
Hispanic,Burden relative to Exposed,"0 (NA, NA)","-3.9 (-12.8, 5.1)","-21.8 (-32.3, -11.3)"
NH White,HR,"1 (1, 1)","0.79 (0.73, 0.86)","0.66 (0.59, 0.73)"
NH White,Burden per 1000,"71.4 (66.4, 76.4)","57.3 (55.2, 59.4)","48.1 (44.2, 52)"
NH White,Burden relative to Exposed,"0 (NA, NA)","-14.1 (-19.6, -8.7)","-23.3 (-29.7, -17)"
NH Black,HR,"1 (1, 1)","0.85 (0.78, 0.92)","0.66 (0.59, 0.74)"
NH Black,Burden per 1000,"112.3 (104.1, 120.4)","96.6 (92.2, 100.9)","76.4 (69.1, 83.7)"
NH Black,Burden relative to Exposed,"0 (NA, NA)","-15.7 (-25, -6.4)","-35.8 (-46.8, -24.9)"
Not Hospitalized,HR,"1 (1, 1)","0.87 (0.81, 0.92)","0.67 (0.62, 0.72)"
Not Hospitalized,Burden per 1000,"74.1 (70.1, 78.2)","65.3 (63.2, 67.4)","50.6 (47.5, 53.6)"
Not Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-8.8 (-13.4, -4.3)","-23.6 (-28.6, -18.5)"
Hospitalized,HR,"1 (1, 1)","0.76 (0.69, 0.82)","0.81 (0.69, 0.94)"
Hospitalized,Burden per 1000,"108.3 (100.1, 116.5)","84 (80.4, 87.5)","89.6 (77.3, 101.8)"
Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-24.3 (-33.3, -15.3)","-18.7 (-33.5, -4)"
