facet,type,Historical,Unexposed,Exposed
Overall,HR,"1.00 	 (NaN, NaN)","1.36 	 (1.26, 1.48)","1.67 	 (1.52, 1.82)"
Overall,HR Unexposed,"0.73 	 (0.68, 0.79)","1.00 	 (NaN, NaN)","1.22 	 (1.14, 1.31)"
Female,HR,"1.00 	 (NaN, NaN)","1.34 	 (1.21, 1.49)","1.61 	 (1.43, 1.82)"
Female,HR Unexposed,"0.75 	 (0.67, 0.83)","1.00 	 (NaN, NaN)","1.20 	 (1.10, 1.32)"
Male,HR,"1.00 	 (NaN, NaN)","1.27 	 (1.13, 1.41)","1.63 	 (1.43, 1.85)"
Male,HR Unexposed,"0.79 	 (0.71, 0.88)","1.00 	 (NaN, NaN)","1.29 	 (1.16, 1.42)"
18 to 39,HR,"1.00 	 (NaN, NaN)","1.02 	 (0.81, 1.29)","1.38 	 (1.06, 1.80)"
18 to 39,HR Unexposed,"0.98 	 (0.77, 1.23)","1.00 	 (NaN, NaN)","1.35 	 (1.08, 1.68)"
40 to 64,HR,"1.00 	 (NaN, NaN)","1.34 	 (1.22, 1.49)","1.68 	 (1.50, 1.89)"
40 to 64,HR Unexposed,"0.74 	 (0.67, 0.82)","1.00 	 (NaN, NaN)","1.25 	 (1.15, 1.37)"
65 plus,HR,"1.00 	 (NaN, NaN)","1.29 	 (1.14, 1.47)","1.53 	 (1.30, 1.79)"
65 plus,HR Unexposed,"0.77 	 (0.68, 0.88)","1.00 	 (NaN, NaN)","1.18 	 (1.05, 1.34)"
Hispanic,HR,"1.00 	 (NaN, NaN)","1.46 	 (1.25, 1.71)","1.59 	 (1.32, 1.92)"
Hispanic,HR Unexposed,"0.68 	 (0.58, 0.80)","1.00 	 (NaN, NaN)","1.09 	 (0.94, 1.27)"
NH White,HR,"1.00 	 (NaN, NaN)","1.28 	 (1.14, 1.45)","1.68 	 (1.46, 1.94)"
NH White,HR Unexposed,"0.78 	 (0.69, 0.88)","1.00 	 (NaN, NaN)","1.31 	 (1.17, 1.46)"
NH Black,HR,"1.00 	 (NaN, NaN)","1.36 	 (1.20, 1.55)","1.67 	 (1.44, 1.93)"
NH Black,HR Unexposed,"0.73 	 (0.64, 0.84)","1.00 	 (NaN, NaN)","1.22 	 (1.10, 1.37)"
Not Hospitalized,HR,"1.00 	 (NaN, NaN)","1.30 	 (1.20, 1.42)","1.55 	 (1.40, 1.70)"
Not Hospitalized,HR Unexposed,"0.77 	 (0.71, 0.83)","1.00 	 (NaN, NaN)","1.19 	 (1.09, 1.29)"
Hospitalized,HR,"1.00 	 (NaN, NaN)","1.18 	 (0.90, 1.54)","1.65 	 (1.24, 2.20)"
Hospitalized,HR Unexposed,"0.85 	 (0.65, 1.12)","1.00 	 (NaN, NaN)","1.41 	 (1.24, 1.60)"
