facet,type,Historical,Unexposed,Exposed
Overall,HR,"1 (1, 1)","1.16 (1.05, 1.27)","1.44 (1.28, 1.61)"
Overall,HR Unexposed,"0.86 (0.79, 0.95)","1 (1, 1)","1.24 (1.16, 1.33)"
Overall,Burden per 1000,"31 (28.1, 34)","35.7 (34.3, 37.1)","44 (41.2, 46.8)"
Overall,Burden relative to Historical,"0 (0, 0)","4.7 (1.4, 7.9)","13 (8.9, 17)"
Overall,Burden relative to Unexposed,"-4.7 (-7.9, -1.4)","0 (0, 0)","8.3 (5.2, 11.4)"
Female,HR,"1 (1, 1)","1.11 (0.99, 1.25)","1.37 (1.19, 1.58)"
Female,HR Unexposed,"0.9 (0.8, 1.01)","1 (1, 1)","1.23 (1.12, 1.35)"
Female,Burden per 1000,"28.4 (24.8, 31.9)","31.4 (29.9, 32.9)","38.4 (35.1, 41.7)"
Female,Burden relative to Historical,"0 (0, 0)","3.1 (-0.8, 6.9)","10.1 (5.3, 14.9)"
Female,Burden relative to Unexposed,"-3.1 (-6.9, 0.8)","0 (0, 0)","7 (3.4, 10.7)"
Male,HR,"1 (1, 1)","1.05 (0.92, 1.18)","1.37 (1.18, 1.59)"
Male,HR Unexposed,"0.96 (0.84, 1.08)","1 (1, 1)","1.31 (1.18, 1.46)"
Male,Burden per 1000,"39.2 (34.6, 43.9)","41 (38.7, 43.3)","53 (48.2, 57.8)"
Male,Burden relative to Historical,"0 (0, 0)","1.7 (-3.4, 6.9)","13.8 (7.1, 20.5)"
Male,Burden relative to Unexposed,"-1.7 (-6.9, 3.4)","0 (0, 0)","12.1 (6.8, 17.4)"
18 to 39,HR,"1 (1, 1)","0.84 (0.66, 1.07)","1.15 (0.88, 1.52)"
18 to 39,HR Unexposed,"1.19 (0.93, 1.51)","1 (1, 1)","1.37 (1.1, 1.71)"
18 to 39,Burden per 1000,"21.1 (16, 26.2)","17.9 (14.8, 20.9)","24.3 (19, 29.6)"
18 to 39,Burden relative to Historical,"0 (0, 0)","-3.2 (-9.2, 2.7)","3.2 (-4.2, 10.6)"
18 to 39,Burden relative to Unexposed,"3.2 (-2.7, 9.2)","0 (0, 0)","6.4 (0.3, 12.6)"
40 to 64,HR,"1 (1, 1)","1.11 (0.99, 1.24)","1.41 (1.23, 1.62)"
40 to 64,HR Unexposed,"0.9 (0.8, 1.01)","1 (1, 1)","1.27 (1.16, 1.4)"
40 to 64,Burden per 1000,"38.7 (34.1, 43.3)","42.7 (40.5, 45)","53.9 (49.2, 58.5)"
40 to 64,Burden relative to Historical,"0 (0, 0)","4 (-1.1, 9.1)","15.2 (8.6, 21.7)"
40 to 64,Burden relative to Unexposed,"-4 (-9.1, 1.1)","0 (0, 0)","11.2 (6, 16.3)"
65 plus,HR,"1 (1, 1)","1.05 (0.92, 1.21)","1.29 (1.09, 1.53)"
65 plus,HR Unexposed,"0.95 (0.83, 1.09)","1 (1, 1)","1.23 (1.08, 1.39)"
65 plus,Burden per 1000,"31.4 (26.4, 36.4)","33 (30, 36.1)","40.2 (34.8, 45.7)"
65 plus,Burden relative to Historical,"0 (0, 0)","1.6 (-4.2, 7.5)","8.8 (1.5, 16.2)"
65 plus,Burden relative to Unexposed,"-1.6 (-7.5, 4.2)","0 (0, 0)","7.2 (1, 13.4)"
Hispanic,HR,"1 (1, 1)","1.11 (0.94, 1.32)","1.25 (1.01, 1.53)"
Hispanic,HR Unexposed,"0.9 (0.76, 1.07)","1 (1, 1)","1.12 (0.96, 1.3)"
Hispanic,Burden per 1000,"37 (30.9, 43.1)","41 (37.7, 44.3)","45.7 (39.5, 52)"
Hispanic,Burden relative to Historical,"0 (0, 0)","4 (-2.9, 11)","8.8 (0, 17.5)"
Hispanic,Burden relative to Unexposed,"-4 (-11, 2.9)","0 (0, 0)","4.7 (-2.3, 11.8)"
NH White,HR,"1 (1, 1)","1.04 (0.91, 1.19)","1.38 (1.18, 1.62)"
NH White,HR Unexposed,"0.96 (0.84, 1.1)","1 (1, 1)","1.33 (1.19, 1.49)"
NH White,Burden per 1000,"26.3 (22.7, 29.9)","27.3 (25.7, 28.8)","36.1 (32.4, 39.8)"
NH White,Burden relative to Historical,"0 (0, 0)","1 (-3, 4.9)","9.8 (4.6, 15)"
NH White,Burden relative to Unexposed,"-1 (-4.9, 3)","0 (0, 0)","8.8 (4.8, 12.8)"
NH Black,HR,"1 (1, 1)","1.1 (0.95, 1.27)","1.36 (1.16, 1.61)"
NH Black,HR Unexposed,"0.91 (0.79, 1.05)","1 (1, 1)","1.24 (1.11, 1.39)"
NH Black,Burden per 1000,"46.6 (40, 53.3)","51.1 (47.8, 54.3)","62.7 (56.3, 69)"
NH Black,Burden relative to Historical,"0 (0, 0)","4.4 (-3, 11.8)","16 (6.8, 25.3)"
NH Black,Burden relative to Unexposed,"-4.4 (-11.8, 3)","0 (0, 0)","11.6 (4.4, 18.8)"
Not Hospitalized,HR,"1 (1, 1)","1.04 (0.94, 1.15)","1.28 (1.13, 1.44)"
Not Hospitalized,HR Unexposed,"0.96 (0.87, 1.06)","1 (1, 1)","1.23 (1.13, 1.33)"
Not Hospitalized,Burden per 1000,"32 (28.7, 35.4)","33.3 (31.9, 34.8)","40.6 (37.6, 43.7)"
Not Hospitalized,Burden relative to Historical,"0 (0, 0)","1.3 (-2.3, 4.9)","8.6 (4, 13.1)"
Not Hospitalized,Burden relative to Unexposed,"-1.3 (-4.9, 2.3)","0 (0, 0)","7.3 (3.9, 10.7)"
Hospitalized,HR,"1 (1, 1)","1.01 (0.77, 1.33)","1.46 (1.09, 1.96)"
Hospitalized,HR Unexposed,"0.99 (0.75, 1.3)","1 (1, 1)","1.44 (1.27, 1.65)"
Hospitalized,Burden per 1000,"38.6 (27.6, 49.6)","39 (36.4, 41.6)","55.4 (48.8, 61.9)"
Hospitalized,Burden relative to Historical,"0 (0, 0)","0.4 (-10.9, 11.7)","16.8 (4, 29.6)"
Hospitalized,Burden relative to Unexposed,"-0.4 (-11.7, 10.9)","0 (0, 0)","16.4 (9.3, 23.4)"
