facet,type,Historical,Unexposed,Exposed
Overall,HR,"1 (1, 1)","1.7 (1.43, 2.01)","1.49 (1.23, 1.81)"
Overall,HR Unexposed,"0.59 (0.5, 0.7)","1 (1, 1)","0.88 (0.74, 1.04)"
Female,HR,"1 (1, 1)","1.91 (1.55, 2.34)","1.5 (1.18, 1.92)"
Female,HR Unexposed,"0.52 (0.43, 0.64)","1 (1, 1)","0.79 (0.63, 0.98)"
Male,HR,"1 (1, 1)","1.45 (1.14, 1.84)","1.46 (1.09, 1.96)"
Male,HR Unexposed,"0.69 (0.54, 0.88)","1 (1, 1)","1.01 (0.78, 1.31)"
18 to 39,HR,"1 (1, 1)","1.92 (1.43, 2.58)","1.36 (0.93, 1.98)"
18 to 39,HR Unexposed,"0.52 (0.39, 0.7)","1 (1, 1)","0.7 (0.5, 0.99)"
40 to 64,HR,"1 (1, 1)","1.26 (1, 1.59)","1.07 (0.8, 1.42)"
40 to 64,HR Unexposed,"0.79 (0.63, 1)","1 (1, 1)","0.85 (0.65, 1.11)"
65 plus,HR,"1 (1, 1)","2.14 (1.63, 2.79)","2.29 (1.65, 3.18)"
65 plus,HR Unexposed,"0.47 (0.36, 0.61)","1 (1, 1)","1.07 (0.82, 1.41)"
Hispanic,HR,"1 (1, 1)","1.64 (1.3, 2.08)","1.48 (1.12, 1.95)"
Hispanic,HR Unexposed,"0.61 (0.48, 0.77)","1 (1, 1)","0.9 (0.71, 1.15)"
NH White,HR,"1 (1, 1)","2.01 (1.58, 2.55)","1.68 (1.23, 2.31)"
NH White,HR Unexposed,"0.5 (0.39, 0.63)","1 (1, 1)","0.84 (0.63, 1.11)"
NH Black,HR,"1 (1, 1)","1.28 (0.89, 1.86)","1.12 (0.72, 1.76)"
NH Black,HR Unexposed,"0.78 (0.54, 1.13)","1 (1, 1)","0.88 (0.57, 1.34)"
Not Hospitalized,HR,"1 (1, 1)","1.63 (1.35, 1.97)","1.46 (1.2, 1.79)"
Not Hospitalized,HR Unexposed,"0.61 (0.51, 0.74)","1 (1, 1)","0.9 (0.74, 1.09)"
Hospitalized,HR,"1 (1, 1)","2.78 (1.23, 6.31)","1.91 (0.78, 4.67)"
Hospitalized,HR Unexposed,"0.36 (0.16, 0.81)","1 (1, 1)","0.68 (0.44, 1.06)"
