facet,type,Exposed,Unexposed,Historical
Overall,HR,"1 (1, 1)","0.81 (0.75, 0.87)","0.7 (0.63, 0.78)"
Overall,Burden per 1000,"43.8 (41, 46.6)","35.7 (34.4, 37)","31 (28.1, 34)"
Overall,Burden relative to Exposed,"0 (NA, NA)","-8.1 (-11.2, -5)","-12.8 (-16.9, -8.7)"
Female,HR,"1 (1, 1)","0.82 (0.74, 0.9)","0.73 (0.64, 0.84)"
Female,Burden per 1000,"38.3 (35, 41.6)","31.5 (29.9, 33)","28.3 (24.9, 31.8)"
Female,Burden relative to Exposed,"0 (NA, NA)","-6.9 (-10.5, -3.2)","-10 (-14.8, -5.2)"
Male,HR,"1 (1, 1)","0.76 (0.69, 0.85)","0.73 (0.63, 0.85)"
Male,Burden per 1000,"52.9 (48.1, 57.7)","41 (38.7, 43.3)","39.2 (34.6, 43.8)"
Male,Burden relative to Exposed,"0 (NA, NA)","-12 (-17.3, -6.7)","-13.7 (-20.4, -7.1)"
18 to 39,HR,"1 (1, 1)","0.74 (0.59, 0.92)","0.86 (0.66, 1.14)"
18 to 39,Burden per 1000,"24.3 (19, 29.6)","18 (14.9, 21)","21.1 (16, 26.1)"
18 to 39,Burden relative to Exposed,"0 (NA, NA)","-6.3 (-12.5, -0.2)","-3.2 (-10.6, 4.1)"
40 to 64,HR,"1 (1, 1)","0.79 (0.72, 0.86)","0.71 (0.62, 0.81)"
40 to 64,Burden per 1000,"53.7 (49, 58.3)","42.7 (40.5, 44.9)","38.7 (34.1, 43.3)"
40 to 64,Burden relative to Exposed,"0 (NA, NA)","-11 (-16.2, -5.8)","-15 (-21.5, -8.5)"
65 plus,HR,"1 (1, 1)","0.82 (0.72, 0.93)","0.78 (0.66, 0.92)"
65 plus,Burden per 1000,"40.1 (34.7, 45.5)","33.1 (30, 36.1)","31.5 (26.5, 36.5)"
65 plus,Burden relative to Exposed,"0 (NA, NA)","-7.1 (-13.3, -0.9)","-8.7 (-16, -1.3)"
Hispanic,HR,"1 (1, 1)","0.89 (0.77, 1.04)","0.8 (0.65, 0.99)"
Hispanic,Burden per 1000,"45.7 (39.5, 52)","41 (37.7, 44.3)","37 (30.9, 43.1)"
Hispanic,Burden relative to Exposed,"0 (NA, NA)","-4.8 (-11.8, 2.3)","-8.7 (-17.4, 0)"
NH White,HR,"1 (1, 1)","0.75 (0.67, 0.84)","0.72 (0.62, 0.85)"
NH White,Burden per 1000,"35.9 (32.2, 39.6)","27.3 (25.8, 28.8)","26.3 (22.7, 29.9)"
NH White,Burden relative to Exposed,"0 (NA, NA)","-8.6 (-12.6, -4.7)","-9.6 (-14.8, -4.5)"
NH Black,HR,"1 (1, 1)","0.81 (0.72, 0.91)","0.74 (0.62, 0.87)"
NH Black,Burden per 1000,"62.4 (56, 68.7)","51.1 (47.8, 54.3)","46.7 (40, 53.3)"
NH Black,Burden relative to Exposed,"0 (NA, NA)","-11.3 (-18.4, -4.2)","-15.7 (-24.9, -6.5)"
Not Hospitalized,HR,"1 (1, 1)","0.82 (0.75, 0.89)","0.78 (0.69, 0.89)"
Not Hospitalized,Burden per 1000,"40.5 (37.5, 43.6)","33.4 (31.9, 34.8)","32 (28.7, 35.3)"
Not Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-7.2 (-10.5, -3.8)","-8.5 (-13, -4)"
Hospitalized,HR,"1 (1, 1)","0.7 (0.61, 0.79)","0.68 (0.51, 0.92)"
Hospitalized,Burden per 1000,"55.1 (48.6, 61.6)","39 (36.4, 41.6)","38.3 (27.4, 49.3)"
Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-16.1 (-23.1, -9.1)","-16.7 (-29.5, -4)"
