facet,type,Historical,Unexposed,Exposed
Overall,HR,"1 (1, 1)","2.09 (1.64, 2.66)","1.31 (0.99, 1.74)"
Overall,HR Unexposed,"0.48 (0.38, 0.61)","1 (1, 1)","0.63 (0.49, 0.81)"
Female,HR,"1 (1, 1)","2.28 (1.73, 3.02)","1.61 (1.15, 2.26)"
Female,HR Unexposed,"0.44 (0.33, 0.58)","1 (1, 1)","0.71 (0.53, 0.95)"
Male,HR,"1 (1, 1)","1.74 (1.22, 2.5)","0.9 (0.55, 1.47)"
Male,HR Unexposed,"0.57 (0.4, 0.82)","1 (1, 1)","0.52 (0.33, 0.82)"
18 to 39,HR,"1 (1, 1)","2.07 (1.46, 2.92)","1.16 (0.73, 1.83)"
18 to 39,HR Unexposed,"0.48 (0.34, 0.68)","1 (1, 1)","0.56 (0.37, 0.85)"
40 to 64,HR,"1 (1, 1)","2.14 (1.53, 3.01)","1.3 (0.85, 1.97)"
40 to 64,HR Unexposed,"0.47 (0.33, 0.65)","1 (1, 1)","0.6 (0.42, 0.88)"
65 plus,HR,"1 (1, 1)","1.89 (1.15, 3.08)","1.68 (0.91, 3.11)"
65 plus,HR Unexposed,"0.53 (0.32, 0.87)","1 (1, 1)","0.89 (0.51, 1.56)"
Hispanic,HR,"1 (1, 1)","1.72 (1.19, 2.48)","0.78 (0.48, 1.28)"
Hispanic,HR Unexposed,"0.58 (0.4, 0.84)","1 (1, 1)","0.45 (0.28, 0.73)"
NH White,HR,"1 (1, 1)","2.06 (1.47, 2.89)","1.47 (0.95, 2.27)"
NH White,HR Unexposed,"0.48 (0.35, 0.68)","1 (1, 1)","0.71 (0.49, 1.04)"
NH Black,HR,"1 (1, 1)","2.43 (1.37, 4.31)","2.39 (1.32, 4.32)"
NH Black,HR Unexposed,"0.41 (0.23, 0.73)","1 (1, 1)","0.98 (0.57, 1.69)"
Not Hospitalized,HR,"1 (1, 1)","2.11 (1.64, 2.72)","1.2 (0.88, 1.64)"
Not Hospitalized,HR Unexposed,"0.47 (0.37, 0.61)","1 (1, 1)","0.57 (0.44, 0.74)"
Hospitalized,HR,"1 (1, 1)","2.57 (0.53, 12.45)","4.3 (0.85, 21.79)"
Hospitalized,HR Unexposed,"0.39 (0.08, 1.88)","1 (1, 1)","1.67 (0.8, 3.48)"
