facet,Historical,Unexposed,Exposed
Overall,"1 (1, 1)","1.28 (1.18, 1.39)","1.64 (1.5, 1.8)"
Female,"1 (1, 1)","1.24 (1.12, 1.38)","1.59 (1.41, 1.79)"
Male,"1 (1, 1)","1.17 (1.05, 1.31)","1.59 (1.4, 1.81)"
18 to 39,"1 (1, 1)","0.95 (0.75, 1.2)","1.33 (1.02, 1.74)"
40 to 64,"1 (1, 1)","1.24 (1.12, 1.38)","1.65 (1.47, 1.85)"
65 plus,"1 (1, 1)","1.18 (1.03, 1.34)","1.49 (1.28, 1.75)"
Hispanic,"1 (1, 1)","1.33 (1.14, 1.56)","1.55 (1.29, 1.86)"
NH White,"1 (1, 1)","1.17 (1.03, 1.32)","1.62 (1.41, 1.87)"
NH Black,"1 (1, 1)","1.24 (1.09, 1.42)","1.62 (1.4, 1.88)"
Not Hospitalized,"1 (1, 1)","1.18 (1.08, 1.28)","1.5 (1.36, 1.65)"
Hospitalized,"1 (1, 1)","1.11 (0.85, 1.46)","1.68 (1.26, 2.24)"
