facet,type,Exposed,Unexposed,Historical
Overall,HR,"1 (1, 1)","1.6 (1.24, 2.06)","0.76 (0.58, 1.01)"
Female,HR,"1 (1, 1)","1.42 (1.05, 1.91)","0.62 (0.44, 0.87)"
Male,HR,"1 (1, 1)","1.94 (1.23, 3.06)","1.11 (0.68, 1.82)"
18 to 39,HR,"1 (1, 1)","1.78 (1.18, 2.68)","0.86 (0.55, 1.36)"
40 to 64,HR,"1 (1, 1)","1.66 (1.14, 2.41)","0.77 (0.51, 1.17)"
65 plus,HR,"1 (1, 1)","1.14 (0.65, 1.99)","0.6 (0.32, 1.1)"
Hispanic,HR,"1 (1, 1)","2.2 (1.38, 3.51)","1.27 (0.78, 2.09)"
NH White,HR,"1 (1, 1)","1.41 (0.97, 2.05)","0.68 (0.44, 1.05)"
NH Black,HR,"1 (1, 1)","1.02 (0.59, 1.76)","0.42 (0.23, 0.76)"
Not Hospitalized,HR,"1 (1, 1)","1.76 (1.36, 2.3)","0.83 (0.61, 1.14)"
Hospitalized,HR,"1 (1, 1)","0.6 (0.29, 1.24)","0.23 (0.05, 1.17)"
