time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper
180,0.9767393000311859,exposed,NA,7.964316609253606e-4,0.9751783226596248,0.978300277402747,23.26069996881408,24.821677340375214,21.699722597252947
365,0.9561635513931914,exposed,NA,0.0014230835975757512,0.9533743587949534,0.9589527439914296,43.836448606808574,46.62564120504664,41.0472560085704
180,0.9836258083608299,historical,NA,8.38466133209129e-4,0.9819824449374834,0.9852691717841764,16.37419163917009,18.017555062516564,14.73082821582361
365,0.9689569983283527,historical,NA,0.0015042741477606268,0.9660086751758671,0.9719053214808382,31.043001671647307,33.99132482413292,28.09467851916181
180,0.9811282976349063,unexposed,NA,3.923933877185262e-4,0.9803592207272063,0.9818973745426062,18.871702365093725,19.64077927279373,18.102625457393827
365,0.9642997774911497,unexposed,NA,6.87837393267409e-4,0.9629516409731257,0.9656479140091738,35.7002225088503,37.04835902687431,34.352085990826176
180,0.97966774374116,exposed,Female,9.255358934961517e-4,0.9778537267235083,0.9814817607588114,20.332256258840054,22.146273276491655,18.51823924118856
365,0.9616955996066573,exposed,Female,0.001682153430882947,0.9583986394656562,0.9649925597476583,38.30440039334271,41.601360534343826,35.0074402523417
180,0.9717145479735402,exposed,Male,0.001358749521835772,0.969051447846731,0.9743776481003492,28.285452026459822,30.94855215326897,25.622351899650788
365,0.9470769370084234,exposed,Male,0.002439194653250298,0.9422962033367701,0.9518576706800767,52.923062991576565,57.70379666322989,48.14232931992335
180,0.9850236204825177,historical,Female,9.78937656884176e-4,0.9831049379319147,0.9869423030331207,14.976379517482318,16.89506206808533,13.057696966879305
365,0.9716530585291311,historical,Female,0.0017833537027725284,0.9681577495000008,0.9751483675582614,28.346941470868913,31.842250499999224,24.8516324417386
180,0.9791799168211752,historical,Male,0.001303000291929863,0.9766260831771475,0.9817337504652028,20.820083178824778,23.373916822852504,18.26624953479716
365,0.9607932121099206,historical,Male,0.0023481007560607536,0.9561910191959704,0.965395405023871,39.20678789007936,43.808980804029616,34.604594976129
180,0.983359256853878,unexposed,Female,4.384079602679873e-4,0.9824999930412172,0.984218520666539,16.640743146121963,17.500006958782844,15.781479333460968
365,0.9685488361070179,unexposed,Female,7.769843480190497e-4,0.9670259747683493,0.9700716974456866,31.45116389298208,32.974025231650714,29.928302554313447
180,0.97823274747005,unexposed,Male,6.437573808182644e-4,0.9769710061888643,0.9794944887512356,21.767252529950042,23.028993811135656,20.505511248764428
365,0.9590432822970689,unexposed,Male,0.0011726900128243402,0.9567448521069034,0.9613417124872345,40.95671770293108,43.25514789309659,38.658287512765455
180,0.9756183722653704,exposed,Hispanic,0.001756328880654986,0.9721760309142792,0.9790607136164617,24.381627734629596,27.823969085720822,20.93928638353826
365,0.9542748685505377,exposed,Hispanic,0.003183410303876522,0.948035499006926,0.9605142380941494,45.72513144946233,51.96450099307404,39.48576190585062
180,0.966488358839583,exposed,NH Black,0.0017994537173514494,0.9629614943617274,0.9700152233174385,33.51164116041705,37.0385056382726,29.9847766825615
365,0.9376145572952456,exposed,NH Black,0.003237810697184667,0.9312685649400051,0.943960549650486,62.38544270475443,68.73143505999491,56.03945034951396
180,0.9809274789056887,exposed,NH White,0.0010264118505060509,0.9789157486453917,0.98293920916598565,19.072521094311345,21.08425135460834,17.060790834014348
365,0.9640759078039131,exposed,NH White,0.0018763655759949872,0.9603982988531321,0.9677535167546939,35.924092196086946,39.601701146867896,32.2464832453061
180,0.9803387501843097,historical,Hispanic,0.0017054410729337524,0.9769961471036042,0.9836813532650152,19.661249815690283,23.003852896395838,16.318646734984842
365,0.9629849011144671,historical,Hispanic,0.0030987721106794145,0.9569114193812382,0.9690583828476959,37.01509888553289,43.08858061876175,30.941617152304147
180,0.975111190529359,historical,NH Black,0.001878300083150223,0.971429790014226,0.9787925910444921,24.888809470640982,28.570209985773975,21.20740895550788
365,0.9533429647097661,historical,NH Black,0.003390423295492202,0.9466978571582557,0.9599880722612764,46.65703529023391,53.302142841744285,40.01192773872364
180,0.9861099135012077,historical,NH White,0.0010018986577114543,0.9841462282159342,0.9880735987864813,13.890086498792309,15.853771784065774,11.926401213518734
365,0.9737251862039116,historical,NH White,0.0018427387170106434,0.9701134846856532,0.97733688772217,26.274813796088424,29.88651531434683,22.663112277830024
180,0.9782022950074708,unexposed,Hispanic,9.259903419026575e-4,0.9763873872873097,0.9800172027276319,21.797704992529198,23.61261271269033,19.982797272368067
365,0.9590344695730411,unexposed,Hispanic,0.0016887479818982302,0.9557245843495559,0.9623443547965264,40.96553042695894,44.27541565044413,37.65564520347364
180,0.9727046342699915,unexposed,NH Black,9.265695317003524e-4,0.9708885913586867,0.9745206771812963,27.29536573000846,29.11140864131334,25.479322818703686
365,0.9489314647790589,unexposed,NH Black,0.0016583258774514882,0.9456812057846232,0.9521817237734945,51.06853522094112,54.318794215376776,47.818276226505475
180,0.9855724065635907,unexposed,NH White,4.247319041947104e-4,0.984739947328284,0.9864048657988975,14.427593436409314,15.26005267171604,13.595134201102477
365,0.9727205755106678,unexposed,NH White,7.717731118183158e-4,0.9712079280072675,0.9742332230140681,27.279424489332182,28.79207199273248,25.766776985931884
180,0.9871792259618859,exposed,18 to 39,0.0014457614495616013,0.9843455855905088,0.9900128663332631,12.820774038114102,15.654414409491224,9.98713366673687
365,0.9757141276649738,exposed,18 to 39,0.0027044887682654926,0.9704134270825803,0.9810148282473672,24.285872335026216,29.58657291741973,18.985171752632812
180,0.9712928956080182,exposed,40 to 64,0.0013178478895179194,0.968709961207461,0.9738758300085755,28.707104391981765,31.290038792539,26.12416999142453
365,0.9463108302756131,exposed,40 to 64,0.0023720201482735734,0.9416617562143936,0.9509599043368328,53.689169724386865,58.338243785606366,49.04009566316725
180,0.9786700723652354,exposed,65 plus,0.0015066524220460444,0.9757170878808051,0.9816230568496658,21.3299276347646,24.282912119194865,18.376943150334224
365,0.959872448915222,exposed,65 plus,0.0027591217913307607,0.9544646695752541,0.96528022825519,40.12755108477795,45.535330424745894,34.719771744810004
180,0.9888956561466742,historical,18 to 39,0.0013860502218819713,0.9861790476310218,0.9916122646623267,11.104343853325815,13.82095236897818,8.387735337673341
365,0.9789360417479127,historical,18 to 39,0.0025936044000165076,0.9738526705337358,0.9840194129620897,21.06395825208729,26.14732946626419,15.980587037910276
180,0.9794522329262856,historical,40 to 64,0.001294626167730755,0.9769148122640902,0.981989653588481,20.547767073714418,23.08518773590984,18.010346411518995
365,0.9613196273436861,historical,40 to 64,0.0023348904197864288,0.9567433262130571,0.9658959284743152,38.68037265631386,43.25667378694287,34.104071525684844
180,0.9833365607564568,historical,65 plus,0.0013892055101595497,0.9806137679894196,0.9860593535234942,16.663439243543188,19.38623201058043,13.940646476505837
365,0.968533364957511,historical,65 plus,0.0025473737602440547,0.9635406041322702,0.9735261257827517,31.46663504248903,36.45939586772984,26.473874217248337
180,0.9905436204320135,unexposed,18 to 39,8.336025013787496e-4,0.9889097895518886,0.9921774513121383,9.456379567986506,11.090210448111426,7.822548687861697
365,0.9820379002408763,unexposed,18 to 39,0.0015673985268504745,0.9789658555788283,0.9851099449029245,17.96209975912366,21.034144421171685,14.890055097075528
180,0.9772777682419643,unexposed,40 to 64,6.362045609253827e-4,0.9760308302157504,0.9785247062681781,22.722231758035672,23.969169784249566,21.475293731821886
365,0.9573008131259918,unexposed,40 to 64,0.001143858964659871,0.9550588907518652,0.9595427355001185,42.6991868740082,44.94110924813477,40.45726449988152
180,0.982481744041517,unexposed,65 plus,8.405027695729738e-4,0.9808343888842478,0.9841290991987862,17.518255958482996,19.165611115752213,15.870900801213782
