facet,type,Exposed,Unexposed,Historical
Overall,HR,"1 (1, 1)","0.81 (0.75, 0.86)","0.7 (0.62, 0.78)"
Overall,Burden per 1000,"44 (41.2, 46.8)","35.7 (34.3, 37.1)","31 (28.1, 34)"
Overall,Burden relative to Exposed,"0 (NA, NA)","-8.3 (-11.4, -5.2)","-13 (-17, -8.9)"
Female,HR,"1 (1, 1)","0.81 (0.74, 0.89)","0.73 (0.63, 0.84)"
Female,Burden per 1000,"38.4 (35.1, 41.7)","31.4 (29.9, 32.9)","28.4 (24.8, 31.9)"
Female,Burden relative to Exposed,"0 (NA, NA)","-7 (-10.7, -3.4)","-10.1 (-14.9, -5.3)"
Male,HR,"1 (1, 1)","0.76 (0.69, 0.85)","0.73 (0.63, 0.85)"
Male,Burden per 1000,"53 (48.2, 57.8)","41 (38.7, 43.3)","39.2 (34.6, 43.9)"
Male,Burden relative to Exposed,"0 (NA, NA)","-12.1 (-17.4, -6.8)","-13.8 (-20.5, -7.1)"
18 to 39,HR,"1 (1, 1)","0.73 (0.59, 0.91)","0.87 (0.66, 1.14)"
18 to 39,Burden per 1000,"24.3 (19, 29.6)","17.9 (14.8, 20.9)","21.1 (16, 26.2)"
18 to 39,Burden relative to Exposed,"0 (NA, NA)","-6.4 (-12.6, -0.3)","-3.2 (-10.6, 4.2)"
40 to 64,HR,"1 (1, 1)","0.78 (0.72, 0.86)","0.71 (0.62, 0.81)"
40 to 64,Burden per 1000,"53.9 (49.2, 58.5)","42.7 (40.5, 45)","38.7 (34.1, 43.3)"
40 to 64,Burden relative to Exposed,"0 (NA, NA)","-11.2 (-16.3, -6)","-15.2 (-21.7, -8.6)"
65 plus,HR,"1 (1, 1)","0.82 (0.72, 0.92)","0.77 (0.65, 0.92)"
65 plus,Burden per 1000,"40.2 (34.8, 45.7)","33 (30, 36.1)","31.4 (26.4, 36.4)"
65 plus,Burden relative to Exposed,"0 (NA, NA)","-7.2 (-13.4, -1)","-8.8 (-16.2, -1.5)"
Hispanic,HR,"1 (1, 1)","0.89 (0.77, 1.04)","0.8 (0.65, 0.99)"
Hispanic,Burden per 1000,"45.7 (39.5, 52)","41 (37.7, 44.3)","37 (30.9, 43.1)"
Hispanic,Burden relative to Exposed,"0 (NA, NA)","-4.7 (-11.8, 2.3)","-8.8 (-17.5, 0)"
NH White,HR,"1 (1, 1)","0.75 (0.67, 0.84)","0.72 (0.62, 0.84)"
NH White,Burden per 1000,"36.1 (32.4, 39.8)","27.3 (25.7, 28.8)","26.3 (22.7, 29.9)"
NH White,Burden relative to Exposed,"0 (NA, NA)","-8.8 (-12.8, -4.8)","-9.8 (-15, -4.6)"
NH Black,HR,"1 (1, 1)","0.81 (0.72, 0.9)","0.73 (0.62, 0.87)"
NH Black,Burden per 1000,"62.7 (56.3, 69)","51.1 (47.8, 54.3)","46.6 (40, 53.3)"
NH Black,Burden relative to Exposed,"0 (NA, NA)","-11.6 (-18.8, -4.4)","-16 (-25.3, -6.8)"
Not Hospitalized,HR,"1 (1, 1)","0.81 (0.75, 0.89)","0.78 (0.69, 0.88)"
Not Hospitalized,Burden per 1000,"40.6 (37.6, 43.7)","33.3 (31.9, 34.8)","32 (28.7, 35.4)"
Not Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-7.3 (-10.7, -3.9)","-8.6 (-13.1, -4)"
Hospitalized,HR,"1 (1, 1)","0.69 (0.61, 0.79)","0.68 (0.51, 0.92)"
Hospitalized,Burden per 1000,"55.4 (48.8, 61.9)","39 (36.4, 41.6)","38.6 (27.6, 49.6)"
Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-16.4 (-23.4, -9.3)","-16.8 (-29.6, -4)"
