Estimate,SE,dfcom,LCI,UCI,term,exposure,exposure_value,modifier_value,outcome,modifier_var,modifier1,modifier1_value
-0.41185132197930924,0.034622170881491346,218713,-0.4797107769070323,-0.3439918670515862,Contrast 3,COHORThistorical,1,NA,CPIT2DM,NA,NA,NA
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,NA,NA,NA
-0.1681207220540742,0.026109457769320468,218713,-0.2192952592819423,-0.11694618482620608,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,NA,NA,NA
-0.3336376852956137,0.03541617236242664,218713,-0.40305338312596994,-0.2642219874652575,Contrast 3,COHORThistorical,1,NA,CPIT2DM,Overlap,NA,NA
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.12934970921431946,0.026288321730264175,218713,-0.18087481980563724,-0.07782459862300167,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.3546319162459696,0.049834951599142835,218713,-0.4523084213802896,-0.25695541111164966,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.2097581742405681,0.03889726582249903,218713,-0.2859968152526662,-0.13351953322847002,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.4355589493101541,0.045574337299287775,218713,-0.5248846504167581,-0.34623324820355006,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.1521181832864221,0.0342523041764412,218713,-0.21925269947224685,-0.08498366710059735,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.4433774566671164,0.10535820673220532,218713,-0.6498795418622388,-0.236875371471994,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category18 to 39,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.18930190595996654,0.08067818210093894,218713,-0.34743114287780685,-0.031172669042126233,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.4372271156044052,0.04547200100558884,218713,-0.5263522375753593,-0.34810199363345107,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category40 to 64,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.19299396119838744,0.034805657291775816,218713,-0.261213049490268,-0.12477487290650684,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.28021134359009536,0.05574272629096506,218713,-0.38946708712038686,-0.17095560005980387,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category65 plus,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.1390108612953393,0.04293831653996661,218713,-0.22316996171367384,-0.054851760877004746,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.30605707825933365,0.06992176657134604,206727,-0.4431037407391719,-0.1690104157794954,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
0,0,206727,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.06719727385806548,0.054227800811227855,206727,-0.1734837634480721,0.039089215731941115,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.4178809578574973,0.051885602214613705,206727,-0.5195767381981402,-0.31618517751685443,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
0,0,206727,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.2335600172916848,0.04046653025151983,206727,-0.31287441658466364,-0.15424561799870593,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.4148177147966242,0.05893136710963296,206727,-0.5303231943315048,-0.2993122352617436,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
0,0,206727,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.16678863400270633,0.04382433294783342,206727,-0.2526843265804598,-0.08089294142495282,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.21402356900204472,0.07949691784144038,218713,-0.36983752797126784,-0.0582096100328216,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.28000770745978554,0.04389385450053067,218713,-0.36603966228082563,-0.19397575263874545,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.40463765830867876,0.03872705941016758,218713,-0.48054269475260725,-0.3287326218647503,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,,1
0,0,218713,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,,1
-0.14153284336300087,0.032343691178622985,218713,-0.20492647807310194,-0.07813920865289982,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,,1
